copies,processors,dagster,tinisat
335,17,0.843914270401001,32.49181389808655
335,33,0.8878786563873291,32.49181389808655
335,64,1.2318437099456787,32.49181389808655
365,2,3.944037914276123,48.71308755874634
365,3,2.1600120067596436,48.71308755874634
365,5,1.4638807773590088,48.71308755874634
365,9,1.111943244934082,48.71308755874634
365,17,0.9357419013977051,48.71308755874634
365,33,0.9838967323303223,48.71308755874634
365,64,1.3358116149902344,48.71308755874634
395,2,4.203908920288086,50.806376457214355
395,3,2.3398611545562744,50.806376457214355
395,5,1.576080560684204,50.806376457214355
395,9,1.187931776046753,50.806376457214355
395,17,1.0158030986785889,50.806376457214355
395,33,1.0476994514465332,50.806376457214355
395,64,1.4758658409118652,50.806376457214355
425,2,4.559938192367554,72.44062423706055
425,3,2.527987480163574,72.44062423706055
425,5,1.695784091949463,72.44062423706055
425,9,1.2918617725372314,72.44062423706055
425,17,1.075974702835083,72.44062423706055
425,33,1.09187912940979,72.44062423706055
425,64,1.683760643005371,72.44062423706055
455,2,4.9240217208862305,86.70064616203308
455,3,2.7318201065063477,86.70064616203308
455,5,1.835960865020752,86.70064616203308
455,9,1.3116998672485352,86.70064616203308
455,17,1.1959552764892578,86.70064616203308
455,33,1.2516393661499023,86.70064616203308
455,64,1.812072515487671,86.70064616203308
485,2,5.307839393615723,116.8970685005188
485,3,2.932101249694824,116.8970685005188
485,5,1.9799435138702393,116.8970685005188
485,9,1.463871955871582,116.8970685005188
485,17,1.2078900337219238,116.8970685005188
485,33,1.3398394584655762,116.8970685005188
485,64,1.9517593383789062,116.8970685005188
515,2,5.61196494102478,110.24273562431335
515,3,3.1398348808288574,110.24273562431335
515,5,2.1160435676574707,110.24273562431335
515,9,1.5321054458618164,110.24273562431335
515,17,1.2955238819122314,110.24273562431335
515,33,1.3998034000396729,110.24273562431335
515,64,2.1998891830444336,110.24273562431335
545,2,6.032053232192993,117.88554382324219
545,3,3.3758697509765625,117.88554382324219
545,5,2.1119964122772217,117.88554382324219
545,9,1.6279375553131104,117.88554382324219
545,17,1.4357883930206299,117.88554382324219
545,33,1.5437493324279785,117.88554382324219
545,64,2.3918373584747314,117.88554382324219
575,2,6.451897621154785,178.90176391601562
575,3,3.5998828411102295,178.90176391601562
575,5,2.367979049682617,178.90176391601562
575,9,1.5878350734710693,178.90176391601562
575,17,1.483978509902954,178.90176391601562
575,33,1.6318297386169434,178.90176391601562
575,64,2.7077507972717285,178.90176391601562
605,2,6.75998854637146,197.50976657867432
605,3,3.839843988418579,197.50976657867432
605,5,2.47601318359375,197.50976657867432
605,9,1.8319425582885742,197.50976657867432
605,17,1.5998780727386475,197.50976657867432
605,33,1.7478008270263672,197.50976657867432
605,64,2.5878262519836426,197.50976657867432
635,2,7.255849361419678,279.76314783096313
635,3,4.0559234619140625,279.76314783096313
635,5,2.6398916244506836,279.76314783096313
