i,j,tinisat,lingeling,dagster 2,dagster 3,dagster 5,dagster 9,dagster 17,dagster 33,dagster 65
25,2,21.84491205,14.66190386,9.947282553,8.47668314,8.421383381,8.826964378,9.343603134,10.23815966,12.65846848
25,3,32.22127104,36.40155602,14.83383656,10.45130038,9.941066027,9.929053545,10.56673837,11.08138871,13.46927547
25,4,94.1966157,158.6966136,28.52432132,18.32530832,18.82144666,18.70516181,19.27830887,20.80567956,25.82402802
25,5,146.9692407,247.1859517,39.64992332,26.52627087,22.24082422,22.23075247,22.69535565,24.06981945,30.90664458
25,6,560.7366884,463.5294113,155.388876,92.99793506,59.17867446,58.02349877,57.42986608,61.89018941,82.9451766
25,7,471.0121591,638.5538397,191.6396766,64.32756734,48.33365011,50.06968737,47.66388726,51.65494537,67.86405945
25,8,937.6764069,991.6535752,329.9157367,112.8174281,76.15418959,72.44457316,70.71819282,77.24345994,102.9389307
25,9,1299.233917,1266.57073,489.2405066,173.8798962,117.141618,105.2291348,105.3611846,114.9772875,134.9396715
26,1,2.569509268,2.963887691,4.092097759,3.497031927,3.676532984,3.725738764,3.887773514,4.093275547,4.868398905
26,2,19.00525928,29.21051645,17.18567562,7.631170988,7.724167824,8.070542097,8.392959118,9.005574703,10.96364713
26,3,32.72334766,71.15839434,30.89064908,14.11267853,12.84355187,13.9060967,14.49850678,14.6671524,17.57623386
26,4,92.55025077,184.3136539,52.66007328,19.05740571,17.75157189,17.73626924,18.572963,19.38994074,24.21184754
26,5,241.2829981,268.8670428,93.31183434,58.96085453,40.57113218,39.94874454,40.28190732,44.63537717,58.48853636
26,6,403.1575654,334.1541224,165.1098266,93.49309993,70.30256486,68.68464875,72.41352153,74.89050221,99.98258448
26,7,423.3042371,757.2056653,88.49124718,54.9724853,43.41317725,43.51799941,43.6851902,47.00165868,63.62093544
26,8,4037.776434,1145.19766,699.3457525,379.6490119,217.0181606,178.713814,179.3070157,220.9658153,298.8118515
26,9,2267.481127,1562.353134,848.1172614,294.9512219,178.1313806,150.887785,156.2535028,180.282552,222.0705242
27,1,2.476084471,1.609155893,3.32746911,2.1292665,2.285011053,2.42526269,2.418594599,2.627017736,3.373782396
27,2,29.24495339,34.51648831,16.09366894,9.383232117,8.304131985,8.283006668,9.175744295,9.841108799,10.92441034
27,3,33.9575839,44.58134151,23.12863183,10.34996891,9.406487226,9.895018339,10.26002026,10.02906108,12.3892107
27,4,77.05805707,121.4319522,45.17618823,18.37540603,15.61303425,16.52697897,16.5675602,16.94934535,20.73411775
27,5,207.3203325,331.9064515,58.66860175,36.37166166,29.06842232,28.41895914,29.34904099,30.57410383,39.13605332
27,6,307.7114465,457.1571097,74.00370264,45.00461769,36.16162682,35.19383192,37.81673717,38.6570797,50.9892621
27,7,822.8290267,790.6575415,228.1623116,124.7636812,81.9982667,86.3469348,89.41713595,95.93678522,128.3244267
27,8,7529.274847,1172.826181,2916.336482,504.4470193,234.1601138,202.7977283,201.0943162,256.2069058,297.1167619
27,9,1370.760345,1271.048557,542.9040937,186.9543364,124.8054531,105.154819,104.3515646,118.0056102,140.7252419
